DateTime,Airport,Airport2,Inbound,Carrier,Delay,Distance
29-12-2008 16:11,JFK,RIC,0,B6,1,288
29-12-2008 17:39,JFK,RDU,0,B6,-6,426
29-12-2008 21:49,JFK,RIC,0,B6,-1,288
29-12-2008 22:32,JFK,ROC,0,B6,-3,264
29-12-2008 13:09,JFK,ROC,0,B6,4,264
29-12-2008 21:15,JFK,ROC,0,B6,16,264
29-12-2008 17:35,JFK,ROC,0,B6,36,264
29-12-2008 09:26,JFK,ROC,0,B6,6,264
29-12-2008 14:32,JFK,RSW,0,B6,67,1074
29-12-2008 07:13,JFK,RSW,0,B6,-7,1074
29-12-2008 10:08,JFK,RSW,0,B6,-3,1074
29-12-2008 18:09,JFK,RSW,0,B6,14,1074
29-12-2008 09:21,JFK,RSW,0,B6,4,1074
29-12-2008 20:35,JFK,RSW,0,B6,5,1074
29-12-2008 06:12,JFK,RSW,0,B6,-3,1074
29-12-2008 15:08,JFK,RSW,0,B6,-2,1074
29-12-2008 16:38,JFK,SAN,0,B6,-2,2446
29-12-2008 08:25,JFK,SAN,0,B6,-5,2446
29-12-2008 20:41,JFK,SEA,0,B6,21,2421
29-12-2008 17:47,JFK,SFO,0,B6,-3,2586
29-12-2008 20:14,JFK,SJC,0,B6,104,2569
29-12-2008 18:58,JFK,SJU,0,B6,28,1597
29-12-2008 15:13,JFK,SJU,0,B6,-2,1597
29-12-2008 21:03,JFK,SJU,0,B6,18,1597
29-12-2008 10:51,JFK,SJU,0,B6,52,1597
29-12-2008 23:57,JFK,SJU,0,B6,-2,1597
29-12-2008 08:53,JFK,SJU,0,B6,-2,1597
29-12-2008 20:34,JFK,SLC,0,B6,14,1989
29-12-2008 05:57,JFK,SJU,0,B6,-3,1597
29-12-2008 19:20,JFK,SMF,0,B6,0,2521
29-12-2008 08:17,JFK,SRQ,0,B6,-3,1041
29-12-2008 13:22,JFK,SRQ,0,B6,34,1041
29-12-2008 11:10,JFK,SYR,0,B6,0,209
29-12-2008 22:43,JFK,SYR,0,B6,3,209
29-12-2008 09:50,JFK,SYR,0,B6,-5,209
29-12-2008 15:47,JFK,SYR,0,B6,7,209
29-12-2008 21:08,JFK,TPA,0,B6,28,1005
29-12-2008 18:58,JFK,TPA,0,B6,3,1005
29-12-2008 13:40,JFK,TPA,0,B6,10,1005
